Implemented,Has ArgInfo,Function,Mapped Method,Implementation Comment,Function Comment
,,"void SetMusicPitch(Music music, float pitch);",TODO,,Set pitch for a music (1.0 is base level)
,,float GetMusicTimeLength(Music music);,TODO,,Get music time length (in seconds)
,,float GetMusicTimePlayed(Music music);,TODO,,Get current music time played (in seconds)
,,,,,
,,AudioStream management functions,,,
,,"AudioStream InitAudioStream(unsigned int sampleRate, unsigned int sampleSize, unsigned int channels);",TODO,,Init audio stream (to stream raw audio pcm data)
,,"void UpdateAudioStream(AudioStream stream, const void *data, int samplesCount);",TODO,,Update audio stream buffers with data
,,void CloseAudioStream(AudioStream stream);,TODO,,Close audio stream and free memory
,,bool IsAudioStreamProcessed(AudioStream stream);,TODO,,Check if any audio stream buffers requires refill
,,void PlayAudioStream(AudioStream stream);,TODO,,Play audio stream
,,void PauseAudioStream(AudioStream stream);,TODO,,Pause audio stream
,,void ResumeAudioStream(AudioStream stream);,TODO,,Resume audio stream
,,bool IsAudioStreamPlaying(AudioStream stream);,TODO,,Check if audio stream is playing
,,void StopAudioStream(AudioStream stream);,TODO,,Stop audio stream
,,"void SetAudioStreamVolume(AudioStream stream, float volume);",TODO,,Set volume for audio stream (1.0 is max level)
,,"void SetAudioStreamPitch(AudioStream stream, float pitch);",TODO,,Set pitch for audio stream (1.0 is base level)
,,void SetAudioStreamBufferSizeDefault(int size);,TODO,,Default size for new audio streams
